Checking duplicate records in file ticdata2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,33,2,3,3,8,0,6,1,3,7,0,2,1,3,6,1,2,7,1,0,1,3,3,4,1,2,1,6,1,1,8,8,0,1,8,1,0,2,7,0,0,4,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33_2_3_3_8_0_6_1_3_7_0_2_1_3_6_1_2_7_1_0_1_3_3_4_1_2_1_6_1_1_8_8_0_1_8_1_0_2_7_0_0_4_3_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_33_2_3_3_8_0_6_1_3_7_0_2_1_3_6_1_2_7_1_0_1_3_3_4_1_2_1_6_1_1_8_8_0_1_8_1_0_2_7_0_0_4_3_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
3720,33,2,4,2,8,0,5,1,4,8,1,0,0,1,8,0,4,5,0,0,0,5,2,2,0,2,3,5,0,2,7,5,4,0,9,0,1,7,2,1,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33_2_4_2_8_0_5_1_4_8_1_0_0_1_8_0_4_5_0_0_0_5_2_2_0_2_3_5_0_2_7_5_4_0_9_0_1_7_2_1_0_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_33_2_4_2_8_0_5_1_4_8_1_0_0_1_8_0_4_5_0_0_0_5_2_2_0_2_3_5_0_2_7_5_4_0_9_0_1_7_2_1_0_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
4283,33,2,4,2,8,0,5,1,4,8,1,0,0,1,8,0,4,5,0,0,0,5,2,2,0,2,3,5,0,2,7,5,4,0,9,0,1,7,2,1,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33_2_4_2_8_0_5_1_4_8_1_0_0_1_8_0_4_5_0_0_0_5_2_2_0_2_3_5_0_2_7_5_4_0_9_0_1_7_2_1_0_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_33_2_4_2_8_0_5_1_4_8_1_0_0_1_8_0_4_5_0_0_0_5_2_2_0_2_3_5_0_2_7_5_4_0_9_0_1_7_2_1_0_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
3097,33,2,4,2,8,0,5,1,4,8,1,0,0,1,8,0,4,5,0,0,0,5,2,2,0,2,3,5,0,2,7,5,4,0,9,0,1,7,2,1,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33_2_4_2_8_0_5_1_4_8_1_0_0_1_8_0_4_5_0_0_0_5_2_2_0_2_3_5_0_2_7_5_4_0_9_0_1_7_2_1_0_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_33_2_4_2_8_0_5_1_4_8_1_0_0_1_8_0_4_5_0_0_0_5_2_2_0_2_3_5_0_2_7_5_4_0_9_0_1_7_2_1_0_4_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
2705,34,1,3,2,8,0,7,0,2,7,2,0,0,4,5,0,2,7,0,2,0,2,4,2,0,0,4,5,0,2,7,5,4,0,9,0,0,5,4,0,0,4,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34_1_3_2_8_0_7_0_2_7_2_0_0_4_5_0_2_7_0_2_0_2_4_2_0_0_4_5_0_2_7_5_4_0_9_0_0_5_4_0_0_4_6_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_34_1_3_2_8_0_7_0_2_7_2_0_0_4_5_0_2_7_0_2_0_2_4_2_0_0_4_5_0_2_7_5_4_0_9_0_0_5_4_0_0_4_6_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0
3536,34,1,3,2,8,0,7,0,2,7,2,0,0,4,5,0,2,7,0,2,0,2,4,2,0,0,4,5,0,2,7,5,4,0,9,0,0,5,4,0,0,4,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34_1_3_2_8_0_7_0_2_7_2_0_0_4_5_0_2_7_0_2_0_2_4_2_0_0_4_5_0_2_7_5_4_0_9_0_0_5_4_0_0_4_6_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_34_1_3_2_8_0_7_0_2_7_2_0_0_4_5_0_2_7_0_2_0_2_4_2_0_0_4_5_0_2_7_5_4_0_9_0_0_5_4_0_0_4_6_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0
346,34,1,3,2,8,0,7,0,2,7,2,0,0,4,5,0,2,7,0,2,0,2,4,2,0,0,4,5,0,2,7,5,4,0,9,0,0,5,4,0,0,4,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34_1_3_2_8_0_7_0_2_7_2_0_0_4_5_0_2_7_0_2_0_2_4_2_0_0_4_5_0_2_7_5_4_0_9_0_0_5_4_0_0_4_6_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_34_1_3_2_8_0_7_0_2_7_2_0_0_4_5_0_2_7_0_2_0_2_4_2_0_0_4_5_0_2_7_5_4_0_9_0_0_5_4_0_0_4_6_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0
4574,34,1,4,2,8,0,5,0,4,9,0,0,0,0,9,0,4,5,0,2,0,0,7,0,2,0,0,7,0,7,2,4,5,0,7,2,4,2,2,2,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34_1_4_2_8_0_5_0_4_9_0_0_0_0_9_0_4_5_0_2_0_0_7_0_2_0_0_7_0_7_2_4_5_0_7_2_4_2_2_2_0_4_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_34_1_4_2_8_0_5_0_4_9_0_0_0_0_9_0_4_5_0_2_0_0_7_0_2_0_0_7_0_7_2_4_5_0_7_2_4_2_2_2_0_4_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
3337,34,1,4,2,8,0,5,0,4,9,0,0,0,0,9,0,4,5,0,2,0,0,7,0,2,0,0,7,0,7,2,4,5,0,7,2,4,2,2,2,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34_1_4_2_8_0_5_0_4_9_0_0_0_0_9_0_4_5_0_2_0_0_7_0_2_0_0_7_0_7_2_4_5_0_7_2_4_2_2_2_0_4_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_34_1_4_2_8_0_5_0_4_9_0_0_0_0_9_0_4_5_0_2_0_0_7_0_2_0_0_7_0_7_2_4_5_0_7_2_4_2_2_2_0_4_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
1735,34,1,4,2,8,0,5,0,4,9,0,0,0,0,9,0,4,5,0,2,0,0,7,0,2,0,0,7,0,7,2,4,5,0,7,2,4,2,2,2,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34_1_4_2_8_0_5_0_4_9_0_0_0_0_9_0_4_5_0_2_0_0_7_0_2_0_0_7_0_7_2_4_5_0_7_2_4_2_2_2_0_4_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_34_1_4_2_8_0_5_0_4_9_0_0_0_0_9_0_4_5_0_2_0_0_7_0_2_0_0_7_0_7_2_4_5_0_7_2_4_2_2_2_0_4_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
243,35,1,2,4,8,2,5,1,2,8,0,1,2,5,3,1,5,4,2,0,0,3,3,3,1,1,5,4,0,8,1,8,1,1,4,5,2,5,2,0,0,3,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35_1_2_4_8_2_5_1_2_8_0_1_2_5_3_1_5_4_2_0_0_3_3_3_1_1_5_4_0_8_1_8_1_1_4_5_2_5_2_0_0_3_5_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_35_1_2_4_8_2_5_1_2_8_0_1_2_5_3_1_5_4_2_0_0_3_3_3_1_1_5_4_0_8_1_8_1_1_4_5_2_5_2_0_0_3_5_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
4858,35,1,2,4,8,2,5,1,2,8,0,1,2,5,3,1,5,4,2,0,0,3,3,3,1,1,5,4,0,8,1,8,1,1,4,5,2,5,2,0,0,3,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35_1_2_4_8_2_5_1_2_8_0_1_2_5_3_1_5_4_2_0_0_3_3_3_1_1_5_4_0_8_1_8_1_1_4_5_2_5_2_0_0_3_5_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_35_1_2_4_8_2_5_1_2_8_0_1_2_5_3_1_5_4_2_0_0_3_3_3_1_1_5_4_0_8_1_8_1_1_4_5_2_5_2_0_0_3_5_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
1769,35,1,2,4,8,2,5,1,2,8,0,1,2,5,3,1,5,4,2,0,0,3,3,3,1,1,5,4,0,8,1,8,1,1,4,5,2,5,2,0,0,3,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35_1_2_4_8_2_5_1_2_8_0_1_2_5_3_1_5_4_2_0_0_3_3_3_1_1_5_4_0_8_1_8_1_1_4_5_2_5_2_0_0_3_5_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_35_1_2_4_8_2_5_1_2_8_0_1_2_5_3_1_5_4_2_0_0_3_3_3_1_1_5_4_0_8_1_8_1_1_4_5_2_5_2_0_0_3_5_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
1500,35,1,3,3,8,0,7,0,2,7,0,2,2,0,7,1,4,5,0,0,0,4,3,3,0,2,2,3,3,7,2,4,1,4,8,1,2,4,4,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35_1_3_3_8_0_7_0_2_7_0_2_2_0_7_1_4_5_0_0_0_4_3_3_0_2_2_3_3_7_2_4_1_4_8_1_2_4_4_0_0_3_5_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_35_1_3_3_8_0_7_0_2_7_0_2_2_0_7_1_4_5_0_0_0_4_3_3_0_2_2_3_3_7_2_4_1_4_8_1_2_4_4_0_0_3_5_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
391,35,1,3,3,8,0,7,0,2,7,0,2,2,0,7,1,4,5,0,0,0,4,3,3,0,2,2,3,3,7,2,4,1,4,8,1,2,4,4,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35_1_3_3_8_0_7_0_2_7_0_2_2_0_7_1_4_5_0_0_0_4_3_3_0_2_2_3_3_7_2_4_1_4_8_1_2_4_4_0_0_3_5_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_35_1_3_3_8_0_7_0_2_7_0_2_2_0_7_1_4_5_0_0_0_4_3_3_0_2_2_3_3_7_2_4_1_4_8_1_2_4_4_0_0_3_5_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
1013,35,1,3,3,8,0,7,0,2,7,0,2,2,0,7,1,4,5,0,0,0,4,3,3,0,2,2,3,3,7,2,4,1,4,8,1,2,4,4,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35_1_3_3_8_0_7_0_2_7_0_2_2_0_7_1_4_5_0_0_0_4_3_3_0_2_2_3_3_7_2_4_1_4_8_1_2_4_4_0_0_3_5_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_35_1_3_3_8_0_7_0_2_7_0_2_2_0_7_1_4_5_0_0_0_4_3_3_0_2_2_3_3_7_2_4_1_4_8_1_2_4_4_0_0_3_5_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
219,35,1,3,3,8,1,4,1,5,7,1,2,1,4,4,2,3,4,3,0,2,2,3,1,3,1,3,3,2,3,6,7,2,1,5,4,3,2,3,2,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35_1_3_3_8_1_4_1_5_7_1_2_1_4_4_2_3_4_3_0_2_2_3_1_3_1_3_3_2_3_6_7_2_1_5_4_3_2_3_2_0_4_5_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_35_1_3_3_8_1_4_1_5_7_1_2_1_4_4_2_3_4_3_0_2_2_3_1_3_1_3_3_2_3_6_7_2_1_5_4_3_2_3_2_0_4_5_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
3989,35,1,3,3,8,1,4,1,5,7,1,2,1,4,4,2,3,4,3,0,2,2,3,1,3,1,3,3,2,3,6,7,2,1,5,4,3,2,3,2,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35_1_3_3_8_1_4_1_5_7_1_2_1_4_4_2_3_4_3_0_2_2_3_1_3_1_3_3_2_3_6_7_2_1_5_4_3_2_3_2_0_4_5_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_35_1_3_3_8_1_4_1_5_7_1_2_1_4_4_2_3_4_3_0_2_2_3_1_3_1_3_3_2_3_6_7_2_1_5_4_3_2_3_2_0_4_5_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
1620,35,1,3,3,8,1,4,1,5,7,1,2,1,4,4,2,3,4,3,0,2,2,3,1,3,1,3,3,2,3,6,7,2,1,5,4,3,2,3,2,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35_1_3_3_8_1_4_1_5_7_1_2_1_4_4_2_3_4_3_0_2_2_3_1_3_1_3_3_2_3_6_7_2_1_5_4_3_2_3_2_0_4_5_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_35_1_3_3_8_1_4_1_5_7_1_2_1_4_4_2_3_4_3_0_2_2_3_1_3_1_3_3_2_3_6_7_2_1_5_4_3_2_3_2_0_4_5_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
3480,35,1,4,4,8,1,4,1,4,6,0,3,2,2,5,0,0,9,2,1,1,3,3,2,0,4,5,0,0,3,6,6,1,2,6,3,0,9,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35_1_4_4_8_1_4_1_4_6_0_3_2_2_5_0_0_9_2_1_1_3_3_2_0_4_5_0_0_3_6_6_1_2_6_3_0_9_0_0_0_4_5_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_35_1_4_4_8_1_4_1_4_6_0_3_2_2_5_0_0_9_2_1_1_3_3_2_0_4_5_0_0_3_6_6_1_2_6_3_0_9_0_0_0_4_5_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
4780,35,1,4,4,8,1,4,1,4,6,0,3,2,2,5,0,0,9,2,1,1,3,3,2,0,4,5,0,0,3,6,6,1,2,6,3,0,9,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35_1_4_4_8_1_4_1_4_6_0_3_2_2_5_0_0_9_2_1_1_3_3_2_0_4_5_0_0_3_6_6_1_2_6_3_0_9_0_0_0_4_5_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_35_1_4_4_8_1_4_1_4_6_0_3_2_2_5_0_0_9_2_1_1_3_3_2_0_4_5_0_0_3_6_6_1_2_6_3_0_9_0_0_0_4_5_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
4213,35,1,4,4,8,1,4,1,4,6,0,3,2,2,5,0,0,9,2,1,1,3,3,2,0,4,5,0,0,3,6,6,1,2,6,3,0,9,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35_1_4_4_8_1_4_1_4_6_0_3_2_2_5_0_0_9_2_1_1_3_3_2_0_4_5_0_0_3_6_6_1_2_6_3_0_9_0_0_0_4_5_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_35_1_4_4_8_1_4_1_4_6_0_3_2_2_5_0_0_9_2_1_1_3_3_2_0_4_5_0_0_3_6_6_1_2_6_3_0_9_0_0_0_4_5_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
2577,36,1,2,4,8,2,5,0,3,9,0,0,0,6,3,0,5,4,2,0,0,7,0,0,2,3,2,4,0,3,6,7,0,2,6,3,2,4,4,0,0,4,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,36_1_2_4_8_2_5_0_3_9_0_0_0_6_3_0_5_4_2_0_0_7_0_0_2_3_2_4_0_3_6_7_0_2_6_3_2_4_4_0_0_4_3_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_36_1_2_4_8_2_5_0_3_9_0_0_0_6_3_0_5_4_2_0_0_7_0_0_2_3_2_4_0_3_6_7_0_2_6_3_2_4_4_0_0_4_3_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
1249,36,1,2,4,8,2,5,0,3,9,0,0,0,6,3,0,5,4,2,0,0,7,0,0,2,3,2,4,0,3,6,7,0,2,6,3,2,4,4,0,0,4,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,36_1_2_4_8_2_5_0_3_9_0_0_0_6_3_0_5_4_2_0_0_7_0_0_2_3_2_4_0_3_6_7_0_2_6_3_2_4_4_0_0_4_3_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_36_1_2_4_8_2_5_0_3_9_0_0_0_6_3_0_5_4_2_0_0_7_0_0_2_3_2_4_0_3_6_7_0_2_6_3_2_4_4_0_0_4_3_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
1731,36,1,2,4,8,2,5,0,3,9,0,0,0,6,3,0,5,4,2,0,0,7,0,0,2,3,2,4,0,3,6,7,0,2,6,3,2,4,4,0,0,4,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,36_1_2_4_8_2_5_0_3_9_0_0_0_6_3_0_5_4_2_0_0_7_0_0_2_3_2_4_0_3_6_7_0_2_6_3_2_4_4_0_0_4_3_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_36_1_2_4_8_2_5_0_3_9_0_0_0_6_3_0_5_4_2_0_0_7_0_0_2_3_2_4_0_3_6_7_0_2_6_3_2_4_4_0_0_4_3_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
1602,38,1,3,3,9,0,3,0,6,7,0,2,0,4,5,0,0,9,0,0,0,0,5,4,0,0,0,6,3,5,4,5,3,3,9,0,4,5,0,0,0,2,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38_1_3_3_9_0_3_0_6_7_0_2_0_4_5_0_0_9_0_0_0_0_5_4_0_0_0_6_3_5_4_5_3_3_9_0_4_5_0_0_0_2_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_38_1_3_3_9_0_3_0_6_7_0_2_0_4_5_0_0_9_0_0_0_0_5_4_0_0_0_6_3_5_4_5_3_3_9_0_4_5_0_0_0_2_3_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
